com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
7170,4,0,13,2023-12-07 11:14:00.000,,,2023-12-07 11:15:13.257,2023-12-07 11:15:13.257,13,1.3333334,9.56,0.47,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:15:00.000,cd7eb0ee-0a23-49e9-b75d-40952e2cc017,
5859,4,0,12,2023-12-07 11:17:00.000,,,2023-12-07 11:18:14.280,2023-12-07 11:18:14.280,12,1.6111112,9.44,0.4,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:18:00.000,ddd36473-d0e4-4f80-b691-4ffa47879046,
12027,4,3,19,2023-12-07 11:18:00.000,,,2023-12-07 11:18:30.546,2023-12-07 11:18:14.292,22,1.5863992,19.08,1.1999998,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:19:00.000,fb6be1ab-8a13-48a9-96aa-4e21a6598867,
10096,4,0,17,2023-12-07 11:21:00.000,,,2023-12-07 11:24:23.332,2023-12-07 11:24:23.332,17,1.25,12.62,0.61,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:22:00.000,48664225-f698-4a34-9b9f-fa848c72f730,
24636,4,0,42,2023-12-07 11:22:00.000,,,2023-12-07 11:24:23.361,2023-12-07 11:24:23.361,42,1.2777778,31.48,1.62,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:23:00.000,5a45e082-bb38-4c8d-b2b3-7a3cfcf35561,
22012,4,0,39,2023-12-07 11:24:00.000,,,2023-12-07 11:35:04.820,2023-12-07 11:24:23.414,39,1.3396751,29.49,1.4200001,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:25:00.000,72243958-69f5-4b43-b434-85a1552c57e7,
37393,4,0,56,2023-12-07 12:47:00.000,,,2023-12-07 12:55:04.245,2023-12-07 12:55:04.245,56,1.0833334,40.51,2.21,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 12:48:00.000,37c011ee-49ce-40e2-91f1-a16643540303,
2992,4,0,5,2023-12-07 12:48:00.000,,,2023-12-07 12:55:04.277,2023-12-07 12:55:04.277,5,1.25,3.74,0.19,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 12:49:00.000,2f004f51-4f69-48bf-ac5e-e100859e8c26,
14251,4,0,19,2023-12-07 12:52:00.000,,,2023-12-07 12:55:04.299,2023-12-07 12:55:04.299,19,0.9444444,13.46,0.74,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 12:53:00.000,b31732e4-8a7e-46bc-a895-1eb7f4b93d04,
36930,4,0,40,2023-12-07 12:53:00.000,,,2023-12-07 12:55:04.320,2023-12-07 12:55:04.320,85,1.3333334,49.24,2.99,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 12:54:00.000,bf7541b0-9093-4cfb-bb45-8eb8637d5936,
